record_id,company_name,industry,country,company_size,month,year,layoffs_count,layoff_percentage,reason_for_layoffs,ai_automation_impact,ai_replacement_risk,open_roles,hiring_trend,remote_jobs_percentage,top_hiring_role,stock_growth_percent,revenue_growth_percent,salary_budget_change,ai_adoption_level,employee_sentiment,job_security_score,market_condition
T28,SAP,Cloud,Germany,Mid-size,Apr,2024,828,14.7,Restructuring,8.6,10.0,2986,Moderate Hiring,89.2,DevOps Engineer,5.2,41.0,13.5,9.4,8.8,6.5,Stable
T29,Palantir,AI,USA,Startup,Mar,2025,1548,7.4,Restructuring,4.2,5.9,9787,Moderate Hiring,76.1,ML Engineer,75.9,8.1,-6.3,4.9,8.3,5.5,Bull Market
T30,OpenAI,Cloud,Germany,Startup,Jan,2025,717,6.8,Market Slowdown,4.4,3.6,3340,Hiring Freeze,33.5,Frontend Developer,45.8,39.0,21.3,3.9,8.8,7.0,Bull Market
T31,SAP,FinTech,Germany,Big Tech,May,2024,2445,5.5,AI Automation,5.9,8.0,5046,Moderate Hiring,21.4,Product Manager,38.5,-16.4,-13.8,5.4,6.9,4.5,Bull Market
T32,Stripe,Social Media,Canada,Startup,Jan,2024,18924,24.4,Overhiring Correction,7.2,10.0,1415,Hiring Freeze,75.0,Cybersecurity Analyst,88.1,39.0,10.0,8.4,4.6,5.3,Recession
T33,OpenAI,Cybersecurity,Canada,Mid-size,Mar,2024,90,2.5,Overhiring Correction,5.8,5.1,5049,Moderate Hiring,47.5,Data Scientist,-29.0,-15.0,-0.8,6.0,7.3,6.4,Bull Market
T34,Amazon,Social Media,India,Big Tech,Oct,2026,1214,4.8,AI Automation,6.7,10.0,2305,Moderate Hiring,11.0,Product Manager,-39.2,50.7,24.2,9.7,10.0,6.2,Bull Market
T35,Databricks,AI,Germany,Enterprise,Nov,2026,5751,2.3,Market Slowdown,4.7,3.9,4584,Moderate Hiring,60.2,ML Engineer,76.7,-21.1,-10.5,6.0,8.0,7.1,Stable
T36,Airbnb,FinTech,Germany,Mid-size,Aug,2025,1667,18.7,AI Automation,4.0,9.1,1389,Downsizing,56.7,Cloud Engineer,86.5,58.8,24.4,5.1,7.4,5.7,Recession
T37,Google,E-Commerce,Canada,Startup,Sep,2025,924,1.3,Cost Cutting,5.7,10.0,5004,Moderate Hiring,59.1,Product Manager,80.9,48.6,14.1,8.3,6.5,7.1,Bull Market
T38,Intel,AI,India,Enterprise,Aug,2026,323,17.7,Market Slowdown,8.4,10.0,7970,Aggressive Hiring,77.4,ML Engineer,18.3,10.3,-1.6,8.3,4.1,5.3,Stable
T39,Databricks,Gaming,Singapore,Startup,Nov,2024,10860,39.9,Cost Cutting,10.1,10.0,1531,Downsizing,40.2,Cloud Engineer,-17.3,-3.6,-13.8,8.3,2.5,2.7,Recession
T40,Spotify,AI,USA,Mid-size,Oct,2024,2181,7.1,Market Slowdown,5.7,10.0,1770,Moderate Hiring,51.6,Data Scientist,29.5,22.7,18.4,7.8,6.7,5.2,Stable
T41,Uber,Social Media,Singapore,Enterprise,May,2024,12470,33.1,AI Automation,1.7,9.9,1777,Downsizing,11.2,DevOps Engineer,34.6,8.3,-7.2,1.3,6.2,2.7,Recession
T42,Oracle,Gaming,UK,Startup,Mar,2026,1358,4.0,Market Slowdown,7.2,10.0,337,Hiring Freeze,84.1,Cybersecurity Analyst,-10.1,14.0,16.8,5.6,7.1,5.7,Bull Market
T43,Netflix,Social Media,Germany,Big Tech,Feb,2024,13015,18.9,Cost Cutting,8.0,10.0,1447,Hiring Freeze,65.8,Software Engineer,49.0,10.0,9.2,6.7,5.8,5.4,Recession
T44,Palantir,AI,UK,Mid-size,Jan,2025,3222,1.7,Market Slowdown,5.0,4.0,7981,Aggressive Hiring,19.7,ML Engineer,-17.1,6.0,5.2,6.4,7.8,6.3,Stable
T45,Meta,FinTech,India,Mid-size,Jun,2026,6240,30.0,Restructuring,9.5,10.0,386,Hiring Freeze,32.2,Data Scientist,56.0,-9.3,-14.4,8.2,3.8,2.7,Recession
T46,Databricks,Social Media,India,Mid-size,Jul,2024,2125,4.6,Cost Cutting,9.4,3.5,5326,Aggressive Hiring,65.0,ML Engineer,56.2,-22.4,0.3,6.6,5.4,6.0,Bull Market
T47,Salesforce,Gaming,Germany,Mid-size,Dec,2024,5850,7.4,Restructuring,1.2,1.9,325,Hiring Freeze,19.6,ML Engineer,35.1,32.7,17.6,1.9,7.4,7.0,Stable
T48,Meta,Gaming,Germany,Mid-size,Jun,2025,2081,5.6,Cost Cutting,7.2,6.8,2860,Moderate Hiring,39.0,DevOps Engineer,32.1,5.3,13.1,5.8,7.1,5.7,Bull Market
T49,Airbnb,AI,Singapore,Mid-size,May,2024,1833,7.2,Market Slowdown,2.2,2.4,4735,Hiring Freeze,81.7,Data Scientist,25.8,9.9,12.4,1.9,5.2,6.9,Stable
T50,Intel,Social Media,Canada,Big Tech,Jan,2024,9837,39.2,Market Slowdown,11.1,10.0,243,Downsizing,54.5,Cybersecurity Analyst,-7.2,40.4,3.0,9.7,4.4,3.1,Recession
T51,Netflix,Cybersecurity,UK,Startup,Jun,2026,112,5.3,Market Slowdown,7.7,6.5,2117,Moderate Hiring,22.3,Frontend Developer,26.9,-20.6,-10.3,5.6,4.5,4.7,Bull Market
T52,Oracle,Cybersecurity,Canada,Startup,May,2024,2160,12.6,Restructuring,6.9,6.9,3024,Moderate Hiring,57.7,Product Manager,10.6,4.7,11.6,9.9,7.5,6.4,Stable
T53,Google,Cybersecurity,Canada,Mid-size,Feb,2026,475,17.8,Market Slowdown,1.7,7.1,3591,Hiring Freeze,56.0,Frontend Developer,-26.1,42.6,6.8,2.1,5.5,5.4,Stable
T54,Databricks,FinTech,Singapore,Startup,Sep,2025,1077,24.7,Restructuring,8.3,10.0,345,Hiring Freeze,46.2,Cloud Engineer,76.5,28.0,8.7,8.3,5.6,4.5,Recession
T55,Salesforce,E-Commerce,Singapore,Enterprise,Apr,2025,12246,20.3,Restructuring,5.0,10.0,247,Hiring Freeze,85.2,ML Engineer,0.2,-13.2,-3.4,4.2,5.5,3.6,Recession
T56,Netflix,Cybersecurity,Canada,Enterprise,May,2025,519,18.0,Cost Cutting,12.8,10.0,2536,Hiring Freeze,12.7,Software Engineer,57.9,49.5,15.7,9.0,8.3,4.9,Stable
T57,Oracle,Gaming,Canada,Enterprise,Aug,2026,6459,11.3,Cost Cutting,9.9,10.0,2571,Moderate Hiring,67.8,DevOps Engineer,41.6,34.0,15.4,8.6,6.1,5.6,Stable
T58,Anthropic,E-Commerce,Singapore,Mid-size,May,2026,15153,19.0,Overhiring Correction,2.2,5.4,412,Downsizing,22.3,Data Scientist,23.3,27.0,-3.2,2.6,7.8,6.7,Recession
T59,Salesforce,AI,India,Enterprise,Mar,2024,1347,7.9,AI Automation,3.8,9.7,7024,Aggressive Hiring,43.9,ML Engineer,81.1,53.7,21.2,6.1,6.4,7.9,Bull Market
T60,Airbnb,E-Commerce,Canada,Startup,Nov,2026,1305,15.2,Cost Cutting,8.3,8.9,2908,Moderate Hiring,40.3,Frontend Developer,-17.2,42.0,18.6,8.6,5.5,5.8,Stable
T61,NVIDIA,E-Commerce,Germany,Mid-size,Feb,2025,385,4.7,Cost Cutting,9.9,10.0,1154,Hiring Freeze,46.2,Software Engineer,-21.2,17.4,8.3,8.8,8.8,5.8,Bull Market
T62,Netflix,Gaming,Singapore,Big Tech,Feb,2025,661,2.2,Cost Cutting,5.2,8.6,3632,Moderate Hiring,21.9,Product Manager,-33.5,59.7,26.4,6.2,9.0,7.0,Bull Market
T63,SAP,Social Media,Canada,Enterprise,Sep,2025,1051,16.3,Cost Cutting,6.4,6.7,485,Hiring Freeze,76.9,Frontend Developer,-5.3,35.7,13.8,7.7,6.9,6.1,Stable
T64,OpenAI,E-Commerce,UK,Mid-size,Sep,2025,13342,38.3,Cost Cutting,5.6,10.0,1453,Hiring Freeze,74.1,Cloud Engineer,68.4,48.7,8.9,5.5,5.6,3.1,Recession
T65,Spotify,E-Commerce,USA,Enterprise,Jun,2025,1790,0.2,Overhiring Correction,2.0,2.4,3875,Hiring Freeze,29.1,Cloud Engineer,-12.2,36.4,23.0,2.8,9.4,8.4,Bull Market
T66,Amazon,Cloud,India,Mid-size,Dec,2024,6712,7.9,AI Automation,6.7,6.2,2398,Hiring Freeze,77.9,ML Engineer,73.3,29.6,17.0,7.0,8.9,7.1,Stable
T67,Oracle,E-Commerce,UK,Big Tech,Apr,2025,1509,7.2,Restructuring,2.6,6.1,1479,Hiring Freeze,54.2,Software Engineer,-5.2,55.6,27.4,4.0,6.7,8.5,Stable
T68,Stripe,Social Media,USA,Big Tech,Jun,2025,4323,4.1,Restructuring,6.1,7.3,4233,Moderate Hiring,60.7,Software Engineer,-26.2,46.0,29.6,5.4,8.2,6.9,Stable
T69,Oracle,Cybersecurity,Singapore,Mid-size,May,2025,174,15.0,Restructuring,4.1,7.6,2281,Hiring Freeze,54.3,Product Manager,67.0,-7.5,-15.5,3.5,4.1,5.6,Stable
T70,Google,E-Commerce,UK,Big Tech,Aug,2024,5263,16.0,Overhiring Correction,11.5,10.0,1474,Hiring Freeze,43.5,ML Engineer,25.1,-21.0,-15.4,8.9,6.0,2.9,Recession
T71,Palantir,AI,Germany,Startup,Mar,2025,793,0.7,Cost Cutting,9.7,7.8,9378,Aggressive Hiring,33.8,Data Scientist,19.3,31.4,24.3,6.4,8.8,6.7,Bull Market
T72,Meta,FinTech,Germany,Enterprise,Jun,2025,1762,8.4,Restructuring,2.0,2.2,353,Hiring Freeze,47.9,DevOps Engineer,2.5,10.1,6.3,1.3,7.0,6.9,Bull Market
T73,Spotify,Gaming,Germany,Enterprise,Jan,2026,1252,0.0,Overhiring Correction,2.8,1.0,1836,Moderate Hiring,17.3,DevOps Engineer,-26.5,55.8,22.1,1.7,7.4,9.6,Bull Market
T74,Meta,FinTech,India,Startup,Jan,2024,6895,28.4,Cost Cutting,12.8,10.0,1273,Hiring Freeze,30.0,Software Engineer,-15.1,59.0,28.4,8.9,4.7,5.3,Recession
T75,Google,Cybersecurity,India,Mid-size,Nov,2024,1817,5.7,Overhiring Correction,14.9,6.9,4432,Moderate Hiring,25.4,DevOps Engineer,11.9,42.6,24.9,9.3,6.0,7.2,Bull Market
T76,Uber,E-Commerce,Singapore,Enterprise,Oct,2026,714,1.6,AI Automation,7.2,3.0,5417,Moderate Hiring,80.8,ML Engineer,14.5,9.4,7.6,5.7,8.4,7.6,Stable
T77,Netflix,FinTech,USA,Startup,Jul,2026,2869,9.8,Cost Cutting,7.5,10.0,938,Hiring Freeze,79.6,Frontend Developer,73.1,20.0,17.3,7.0,8.0,6.6,Stable
T78,Amazon,Cybersecurity,Singapore,Mid-size,Nov,2026,957,0.9,AI Automation,2.7,4.6,1971,Moderate Hiring,88.7,Cloud Engineer,11.4,10.8,10.9,4.2,6.2,6.5,Bull Market
T79,Stripe,Gaming,USA,Enterprise,Nov,2025,3033,17.5,AI Automation,3.6,3.8,634,Hiring Freeze,18.8,Frontend Developer,-28.2,56.3,25.3,4.2,6.3,7.4,Recession
T80,Anthropic,Social Media,UK,Startup,Feb,2025,5521,11.2,Market Slowdown,15.6,10.0,5067,Aggressive Hiring,28.5,DevOps Engineer,42.7,26.7,12.5,9.8,5.8,5.0,Stable
T81,SAP,Social Media,India,Big Tech,Oct,2026,2306,8.3,Restructuring,4.4,3.9,5840,Moderate Hiring,84.2,Cloud Engineer,-21.5,8.7,7.7,3.0,7.4,6.0,Bull Market
T82,SAP,E-Commerce,Singapore,Enterprise,Feb,2025,4169,11.6,Restructuring,11.8,8.3,1580,Moderate Hiring,17.3,Product Manager,-9.1,-14.0,2.8,8.3,7.5,5.5,Stable
T83,Airbnb,Gaming,Germany,Big Tech,Aug,2025,4235,16.8,Cost Cutting,11.7,8.9,4333,Moderate Hiring,30.8,Software Engineer,21.9,-18.1,-13.7,8.3,5.8,3.1,Stable
T84,OpenAI,Cloud,UK,Enterprise,Oct,2026,3211,16.0,Market Slowdown,10.2,10.0,3311,Moderate Hiring,64.2,Cloud Engineer,-9.0,49.7,25.4,8.7,7.8,6.6,Stable
T85,Palantir,AI,Canada,Mid-size,Dec,2025,1704,3.3,Restructuring,7.6,10.0,4738,Moderate Hiring,70.2,ML Engineer,73.9,49.1,13.6,8.8,9.5,6.4,Bull Market
T86,Palantir,Gaming,India,Big Tech,Aug,2024,4741,37.1,AI Automation,2.4,10.0,1597,Downsizing,10.5,DevOps Engineer,38.3,58.4,16.9,4.0,4.8,4.3,Recession
T87,Adobe,Cloud,Germany,Mid-size,Aug,2026,4870,3.2,Overhiring Correction,5.4,3.4,5289,Moderate Hiring,37.3,Cybersecurity Analyst,80.8,-16.3,4.2,5.9,7.0,5.6,Stable
T88,Intel,E-Commerce,Singapore,Enterprise,May,2025,1140,14.1,Market Slowdown,5.1,4.7,3391,Moderate Hiring,13.7,DevOps Engineer,86.4,57.4,25.6,3.7,6.1,7.9,Stable
T89,Airbnb,AI,Singapore,Mid-size,Dec,2026,1006,15.0,Cost Cutting,1.2,3.6,4356,Hiring Freeze,85.5,ML Engineer,70.3,19.8,10.5,1.2,5.6,7.1,Stable
T90,Uber,Cloud,Singapore,Big Tech,Feb,2024,3255,12.1,Market Slowdown,7.2,10.0,1188,Hiring Freeze,85.5,Cloud Engineer,41.2,8.8,-0.6,8.0,8.2,4.9,Stable
T91,Airbnb,FinTech,India,Enterprise,May,2024,1980,2.0,AI Automation,14.0,10.0,2455,Moderate Hiring,53.5,ML Engineer,-17.5,-17.3,-9.9,9.0,6.1,5.3,Bull Market
T92,Palantir,FinTech,Singapore,Mid-size,Feb,2024,18343,17.4,Overhiring Correction,1.9,4.0,576,Downsizing,48.5,DevOps Engineer,-28.1,33.3,7.3,1.2,5.4,6.4,Recession
T93,Adobe,E-Commerce,Germany,Big Tech,Jan,2025,5209,6.5,Restructuring,2.0,4.7,2968,Hiring Freeze,10.9,ML Engineer,8.0,15.8,7.2,1.6,6.1,7.3,Stable
T94,Microsoft,Gaming,USA,Big Tech,Oct,2026,4297,16.4,AI Automation,12.2,10.0,3136,Hiring Freeze,55.7,Data Scientist,20.1,-7.1,-6.5,8.7,6.6,5.0,Stable
T95,Apple,Cloud,Canada,Enterprise,Feb,2026,2272,0.9,Restructuring,1.7,1.0,1117,Moderate Hiring,35.8,Product Manager,-17.9,33.9,20.6,1.7,6.1,9.1,Bull Market
T96,Databricks,Cybersecurity,Canada,Mid-size,Aug,2025,7082,36.7,Market Slowdown,12.0,10.0,602,Hiring Freeze,66.7,Frontend Developer,51.4,43.1,7.8,9.6,6.6,2.8,Recession
T97,Stripe,E-Commerce,UK,Startup,Apr,2026,1899,27.1,Cost Cutting,13.3,10.0,1773,Downsizing,68.5,Data Scientist,-36.9,-4.0,-12.0,9.1,6.2,2.6,Recession
T98,Spotify,Social Media,USA,Mid-size,Sep,2024,684,1.8,Cost Cutting,14.4,10.0,3865,Aggressive Hiring,11.7,ML Engineer,-0.1,21.1,12.7,9.8,5.8,6.3,Bull Market
T99,Google,E-Commerce,Germany,Big Tech,Apr,2025,6178,4.5,Market Slowdown,4.6,4.8,2177,Hiring Freeze,69.4,Software Engineer,1.7,6.5,12.5,3.0,5.0,7.5,Stable
T100,SAP,AI,Singapore,Mid-size,Jul,2024,6663,1.5,Overhiring Correction,6.4,7.5,2394,Moderate Hiring,32.7,ML Engineer,6.8,14.6,15.2,6.2,6.3,7.3,Stable
T101,Airbnb,Social Media,India,Enterprise,Jan,2024,477,1.8,Market Slowdown,4.0,5.9,4205,Moderate Hiring,49.4,Data Scientist,72.6,12.9,7.2,4.6,6.7,7.2,Bull Market
T102,Databricks,Social Media,Canada,Enterprise,Aug,2026,3038,6.3,Market Slowdown,2.6,2.7,5768,Hiring Freeze,71.9,Data Scientist,85.9,13.6,-0.5,2.5,5.2,6.6,Stable
T103,NVIDIA,FinTech,Canada,Big Tech,Oct,2024,5997,12.4,Restructuring,4.3,8.2,2560,Hiring Freeze,23.4,Data Scientist,-40.0,37.6,17.4,5.7,7.0,6.9,Stable
T104,Salesforce,Cybersecurity,UK,Startup,Nov,2026,2203,8.6,Overhiring Correction,10.1,8.5,2581,Moderate Hiring,14.6,Product Manager,81.4,-21.7,-14.7,8.3,5.5,5.7,Bull Market
T105,Google,Gaming,Singapore,Enterprise,Mar,2025,10200,26.7,Overhiring Correction,5.2,8.7,1324,Hiring Freeze,10.4,Software Engineer,41.3,48.8,12.5,3.8,6.4,5.0,Recession
T106,SAP,FinTech,India,Big Tech,Feb,2025,13115,12.0,Market Slowdown,5.2,8.7,941,Moderate Hiring,63.9,DevOps Engineer,-32.3,32.2,11.7,7.0,8.5,5.4,Recession
T107,Oracle,FinTech,UK,Startup,Jul,2026,2358,9.8,Restructuring,7.3,4.7,3919,Moderate Hiring,79.2,Cybersecurity Analyst,-29.7,42.6,26.1,7.2,7.9,8.2,Bull Market
T108,Adobe,Social Media,Germany,Startup,Jun,2025,1427,12.1,Market Slowdown,6.0,10.0,774,Hiring Freeze,88.2,Data Scientist,72.6,41.5,18.5,8.4,8.2,6.8,Stable
T109,Microsoft,Gaming,Germany,Startup,Jul,2024,2667,29.4,Cost Cutting,6.8,10.0,900,Downsizing,79.5,DevOps Engineer,-4.9,30.2,2.1,4.6,6.1,4.2,Recession
T110,Anthropic,FinTech,Canada,Big Tech,Jan,2024,13178,20.4,Market Slowdown,6.7,8.1,151,Hiring Freeze,15.9,DevOps Engineer,45.2,27.7,7.3,6.1,5.7,5.9,Recession
T111,Palantir,Cloud,UK,Big Tech,Feb,2024,11693,37.3,Overhiring Correction,8.5,9.5,353,Downsizing,56.4,DevOps Engineer,37.1,40.0,13.9,5.7,6.1,4.5,Recession
T112,Airbnb,Social Media,India,Enterprise,Sep,2025,1406,21.8,AI Automation,1.9,6.9,1877,Downsizing,84.2,Software Engineer,81.1,4.9,-12.0,1.2,5.3,4.1,Recession
T113,Airbnb,Gaming,USA,Big Tech,Aug,2026,1692,8.0,Market Slowdown,4.3,5.0,1881,Moderate Hiring,42.0,ML Engineer,66.1,19.4,-0.4,3.6,8.4,7.4,Bull Market
T114,Anthropic,Social Media,UK,Big Tech,Apr,2025,2459,14.5,Overhiring Correction,2.2,6.4,4157,Hiring Freeze,74.5,DevOps Engineer,-39.1,28.8,17.5,2.7,7.1,6.8,Stable
T115,Apple,E-Commerce,India,Mid-size,Jul,2025,520,6.5,Overhiring Correction,7.1,10.0,5015,Moderate Hiring,54.5,Cloud Engineer,-4.2,37.2,24.5,9.0,8.3,7.1,Bull Market
T116,Spotify,Gaming,USA,Enterprise,Oct,2026,4040,21.6,Restructuring,6.1,10.0,722,Downsizing,27.3,Cloud Engineer,-41.8,29.6,11.5,7.9,6.3,4.2,Recession
T117,Apple,E-Commerce,Canada,Big Tech,Sep,2026,6752,2.0,Restructuring,3.4,4.3,3929,Moderate Hiring,42.3,Cybersecurity Analyst,51.9,33.9,25.0,4.5,6.4,7.2,Stable
T118,SAP,FinTech,India,Mid-size,Apr,2025,11793,37.0,AI Automation,10.9,10.0,1749,Downsizing,25.3,Frontend Developer,-14.4,5.2,-13.9,7.5,4.3,1.6,Recession
T119,Salesforce,Social Media,Germany,Big Tech,Aug,2024,3710,11.9,Cost Cutting,7.4,10.0,2628,Hiring Freeze,46.5,ML Engineer,-37.9,7.2,0.7,8.2,8.2,4.9,Stable
T120,Anthropic,Cybersecurity,UK,Startup,Sep,2025,761,10.6,AI Automation,6.6,5.6,1216,Hiring Freeze,23.6,Data Scientist,12.1,44.9,6.8,4.0,6.7,8.1,Stable
T121,Apple,E-Commerce,Singapore,Mid-size,May,2025,236,1.2,Overhiring Correction,8.9,3.9,5567,Aggressive Hiring,53.2,DevOps Engineer,25.3,28.0,5.3,5.3,8.8,7.2,Bull Market
T122,NVIDIA,Social Media,USA,Enterprise,Jun,2026,10715,30.7,Restructuring,5.4,10.0,1651,Hiring Freeze,40.5,Frontend Developer,-12.7,18.3,8.8,8.4,4.2,4.4,Recession
T123,Palantir,AI,Canada,Startup,Apr,2026,261,9.2,AI Automation,10.2,10.0,5107,Moderate Hiring,84.4,Data Scientist,65.4,7.4,12.2,8.9,8.0,5.9,Bull Market
T124,Oracle,AI,Singapore,Startup,Dec,2025,5143,14.9,AI Automation,7.7,5.8,3978,Moderate Hiring,37.7,ML Engineer,41.5,44.9,10.2,8.1,8.6,7.5,Stable
T125,Meta,FinTech,USA,Enterprise,Jul,2024,1233,16.3,Cost Cutting,8.2,9.5,1248,Hiring Freeze,63.3,Cybersecurity Analyst,19.6,18.0,-0.3,5.4,4.6,5.6,Stable
T126,Anthropic,E-Commerce,Canada,Mid-size,Feb,2026,91,3.1,Restructuring,2.4,1.0,4685,Hiring Freeze,10.0,ML Engineer,36.3,6.0,0.2,2.1,7.2,7.1,Bull Market
T127,Databricks,Social Media,India,Big Tech,Apr,2025,4850,32.1,Market Slowdown,3.7,8.5,1978,Downsizing,21.4,ML Engineer,-4.1,-16.4,-10.9,2.9,2.2,2.6,Recession
T128,SAP,FinTech,Singapore,Startup,Nov,2026,2248,11.5,Cost Cutting,9.4,10.0,3502,Moderate Hiring,67.9,Cloud Engineer,9.6,30.6,10.9,10.0,7.1,5.7,Stable
T129,Amazon,E-Commerce,UK,Enterprise,Dec,2025,7140,32.6,Restructuring,1.6,8.8,295,Downsizing,73.2,Frontend Developer,46.9,-8.9,-9.7,2.6,3.4,3.4,Recession
T130,Adobe,Cloud,Germany,Big Tech,Jul,2026,2385,0.6,Market Slowdown,4.3,5.0,2642,Moderate Hiring,46.4,Product Manager,-31.8,16.5,2.8,6.7,6.7,7.9,Bull Market
